"";"Mun_Code";"Municipality";"Cluster";"adj_scm_CF_M15"
"1";"PH175101000";"Abra De Ilog";"1";6,16010904312134
"2";"PH030801000";"Abucay";"2";2,96650385856628
"3";"PH083701000";"Abuyog";"3";27,8108940124512
"4";"PH045601000";"Agdangan";"1";9,30704307556152
"5";"PH025701000";"Aglipay";"5";2,77792882919312
"6";"PH015501000";"Agno";"5";4,85925483703613
"7";"PH041001000";"Agoncillo";"5";1,02914595603943
"8";"PH013301000";"Agoo";"5";0,976670622825623
"9";"PH015502000";"Aguilar";"5";2,01076936721802
"10";"PH175302000";"Agutaya";"1";6,48052406311035
"11";"PH063001000";"Ajuy";"3";54,1694793701172
"12";"PH045602000";"Alabat";"1";7,06632995605469
"13";"PH043401000";"Alaminos";"5";1,38294565677643
"14";"PH083702000";"Alangalang";"4";55,9443550109863
"15";"PH083703000";"Albuera";"4";40,0299377441406
"16";"PH015504000";"Alcala";"5";2,07457780838013
"17";"PH175901000";"Alcantara";"4";31,4640846252441
"18";"PH042101000";"Alfonso";"5";0,817435026168823
"19";"PH025015000";"Alfonso Castaneda";"3";4,59829473495483
"20";"PH034901000";"Aliaga";"5";1,36004316806793
"21";"PH012901000";"Alilem";"1";2,00045847892761
"22";"PH063002000";"Alimodian";"3";32,5718460083008
"23";"PH041002000";"Alitagtag";"5";1,32906436920166
"24";"PH084801000";"Allen";"1";41,6377449035645
"25";"PH086001000";"Almagro";"4";28,6057567596436
"26";"PH087801000";"Almeria";"3";29,8491840362549
"27";"PH072204000";"Aloguinsan";"3";35,150821685791
"28";"PH060401000";"Altavas";"3";38,0453681945801
"29";"PH042102000";"Amadeo";"5";1,01313948631287
"30";"PH025001000";"Ambaguio";"1";4,89617013931274
"31";"PH086401000";"Anahawan";"4";13,9336242675781
"32";"PH036901000";"Anao";"5";1,17076075077057
"33";"PH015505000";"Anda";"1";5,33802509307861
"34";"PH031401000";"Angat";"5";0,879661440849304
"35";"PH035401000";"";"5";3,51734137535095
"36";"PH045801000";"Angono";"5";4,32349395751953
"37";"PH063003000";"Anilao";"3";28,5113716125488
"38";"PH060601000";"Anini-Y";"3";29,1791400909424
"39";"PH035402000";"Apalit";"5";4,17096710205078
"40";"PH035403000";"Arayat";"5";1,35495924949646
"41";"PH013302000";"Aringay";"5";1,44897937774658
"42";"PH025002000";"Aritao";"5";2,00217819213867
"43";"PH054101000";"Aroroy";"1";18,2207107543945
"44";"PH082601000";"Arteche";"3";40,7597465515137
"45";"PH015506000";"Asingan";"5";1,43745243549347
"46";"PH142711000";"Asipulo";"3";4,10976600646973
"47";"PH072206000";"Asturias";"3";28,2382469177246
"48";"PH045603000";"Atimonan";"1";3,4756076335907
"49";"PH141101000";"Atok";"5";0,898974180221558
"50";"PH051701000";"Baao";"5";31,3201713562012
"51";"PH083705000";"Babatngon";"4";30,0175457000732
"52";"PH050501000";"Bacacay";"1";34,871883392334
"53";"PH013303000";"Bacnotan";"5";1,53281080722809
"54";"PH175201000";"Baco";"1";26,9117088317871
"55";"PH035404000";"Bacolor";"5";0,762771964073181
"56";"PH042103000";"";"5";0,857324719429016
"57";"PH063004000";"Badiangan";"3";43,1442565917969
"58";"PH025003000";"Bagabag";"5";1,51708400249481
"59";"PH030802000";"Bagac";"5";0,979963004589081
"60";"PH052001000";"Bagamanoc";"1";34,0834159851074
"61";"PH141102000";"";"5";6,51746559143066
"62";"PH013304000";"Bagulin";"5";0,938454389572144
"63";"PH141103000";"Bakun";"5";1,96816623210907
"64";"PH031402000";"Balagtas";"5";0,469079494476318
"65";"PH072208000";"Balamban";"3";33,9726600646973
"66";"PH082602000";"Balangiga";"4";72,2400131225586
"67";"PH082603000";"Balangkayan";"3";37,8312339782715
"68";"PH013305000";"Balaoan";"5";1,34388828277588
"69";"PH063005000";"Balasan";"4";29,4517803192139
"70";"PH051702000";"Balatan";"1";17,9729099273682
"71";"PH041003000";"Balayan";"5";1,13181257247925
"72";"PH054102000";"Baleno";"1";20,3870010375977
"73";"PH037701000";"Baler";"1";4,86807870864868
"74";"PH041004000";"Balete";"5";1,17613089084625
"75";"PH060402000";"Balete";"3";34,3380470275879
"76";"PH031403000";"";"5";1,50713384151459
"77";"PH054103000";"Balud";"3";23,9457702636719
"78";"PH015507000";"Balungao";"5";1,46881008148193
"79";"PH036902000";"Bamban";"5";1,15701961517334
"80";"PH025004000";"Bambang";"5";1,44390654563904
"81";"PH063006000";"Banate";"3";40,621955871582
"82";"PH060403000";"Banga";"3";33,7764930725098
"83";"PH013306000";"Bangar";"5";2,45070385932922
"84";"PH015508000";"Bani";"5";6,04486417770386
"85";"PH175202000";"Bansud";"5";5,7240514755249
"86";"PH072209000";"Bantayan";"4";44,3067207336426
"87";"PH175902000";"Banton";"1";19,2427616119385
"88";"PH045803000";"Baras";"5";1,09422123432159
"89";"PH052002000";"Baras";"1";35,1905937194824
"90";"PH060602000";"Barbaza";"3";48,3062705993652
"91";"PH056202000";"Barcelona";"1";28,1229953765869
"92";"PH072210000";"Barili";"3";44,6799392700195
"93";"PH063007000";"Barotac Nuevo";"3";32,1645774841309
"94";"PH063008000";"Barotac Viejo";"3";36,1298789978027
"95";"PH083706000";"Barugo";"5";34,0794868469238
"96";"PH086002000";"Basey";"3";76,0221099853516
"97";"PH168501000";"Basilisa";"3";10,2810831069946
"98";"PH015509000";"Basista";"5";1,5705201625824
"99";"PH051601000";"Basud";"5";23,1206607818604
"100";"PH063009000";"Batad";"3";36,4545021057129
"101";"PH060404000";"Batan";"3";32,2977600097656
"102";"PH041005000";"";"5";1,03808975219727
"103";"PH051703000";"Bato";"1";33,9839859008789
"104";"PH052003000";"Bato";"1";36,2059135437012
"105";"PH083707000";"Bato";"3";47,5835990905762
"106";"PH054104000";"Batuan";"1";32,9730796813965
"107";"PH041006000";"Bauan";"5";1,0381885766983
"108";"PH013307000";"Bauang";"2";2,54002499580383
"109";"PH144402000";"Bauko";"5";0,746817171573639
"110";"PH015510000";"Bautista";"5";1,37940323352814
"111";"PH043402000";"Bay";"5";1,27115082740784
"112";"PH015511000";"Bayambang";"5";1,64018154144287
"113";"PH025005000";"Bayombong";"5";1,49530470371246
"114";"PH060603000";"Belison";"5";26,2454051971436
"115";"PH071248000";"Bien Unido";"3";33,4501762390137
"116";"PH087802000";"Biliran";"3";33,696891784668
"117";"PH015512000";"Binalonan";"5";1,33322763442993
"118";"PH045804000";"Binangonan";"5";0,791378617286682
"119";"PH063010000";"Bingawan";"3";42,5727310180664
"120";"PH015513000";"Binmaley";"2";5,03943586349487
"121";"PH133902000";"";"2";28,7323532104492
"122";"PH084802000";"Biri";"1";62,3461952209473
"123";"PH174001000";"Boac";"5";4,23893976211548
"124";"PH084803000";"Bobon";"1";34,5893363952637
"125";"PH031404000";"Bocaue";"5";0,933834850788116
"126";"PH141104000";"Bokod";"5";0,56543093919754
"127";"PH015514000";"Bolinao";"1";6,12539434432983
"128";"PH051704000";"Bombon";"1";29,2339134216309
"129";"PH034902000";"Bongabon";"5";1,62294054031372
"130";"PH175203000";"Bongabong";"1";20,6082153320312
"131";"PH086402000";"Bontoc";"3";32,3336448669434
"132";"PH072213000";"Borbon";"3";51,1874008178711
"133";"PH037101000";"Botolan";"1";4,75820827484131
"134";"PH045605000";"Buenavista";"1";23,8745174407959
"135";"PH067901000";"Buenavista";"3";55,1575393676758
"136";"PH071209000";"Buenavista";"3";41,393424987793
"137";"PH174002000";"Buenavista";"5";6,38568639755249
"138";"PH015515000";"Bugallon";"5";5,73825311660767
"139";"PH060604000";"Bugasong";"3";36,5829772949219
"140";"PH141105000";"Buguias";"5";0,734061181545258
"141";"PH051705000";"Buhi";"3";26,3460655212402
"142";"PH051706000";"Bula";"3";19,1782646179199
"143";"PH031405000";"Bulacan";"1";1,27929842472076
"144";"PH175204000";"Bulalacao";"3";33,060718536377
"145";"PH056203000";"Bulan";"2";27,3713893890381
"146";"PH056204000";"Bulusan";"1";29,5164127349854
"147";"PH083710000";"Burauen";"4";52,3498764038086
"148";"PH045606000";"Burdeos";"1";14,5737924575806
"149";"PH013308000";"Burgos";"5";1,16043698787689
"150";"PH015516000";"Burgos";"5";5,29897594451904
"151";"PH166704000";"Burgos";"1";8,77286911010742
"152";"PH060405000";"Buruanga";"3";31,5243301391602
"153";"PH031406000";"Bustos";"5";0,802782595157623
"154";"PH175307000";"Busuanga";"3";28,4667186737061
"155";"PH013309000";"Caba";"5";2,58772802352905
"156";"PH034903000";"";"5";0,88747888803482
"157";"PH037102000";"Cabangan";"1";4,02872848510742
"158";"PH025702000";"Cabarroguis";"5";2,6710205078125
"159";"PH063012000";"Cabatuan";"3";51,0680847167969
"160";"PH034904000";"Cabiao";"5";1,0864725112915
"161";"PH087803000";"Cabucgayan";"3";34,3778915405273
"162";"PH051707000";"Cabusao";"2";35,8860664367676
"163";"PH043404000";"";"5";3,37523078918457
"164";"PH175308000";"Cagayancillo";"3";5,00270223617554
"165";"PH168502000";"Cagdianao";"4";28,6179847717285
"166";"PH087804000";"Caibiran";"3";16,3122901916504
"167";"PH045805000";"Cainta";"5";2,38421678543091
"168";"PH175903000";"Cajidiocan";"1";21,5000953674316
"169";"PH051708000";"Calabanga";"2";21,8477916717529
"170";"PH041007000";"";"5";0,860407590866089
"171";"PH015517000";"Calasiao";"5";2,09526324272156
