"";"Mun_Code";"Municipality";"Cluster";"adj_scm_CF_M15"
"1";"PH175101000";"Abra De Ilog";"1";7,2955961227417
"2";"PH030801000";"Abucay";"2";2,96106719970703
"3";"PH083701000";"Abuyog";"3";28,6698341369629
"4";"PH045601000";"Agdangan";"1";8,58895206451416
"5";"PH025701000";"Aglipay";"5";3,002037525177
"6";"PH015501000";"Agno";"5";4,56555604934692
"7";"PH041001000";"Agoncillo";"5";1,17981326580048
"8";"PH013301000";"Agoo";"5";1,16195929050446
"9";"PH015502000";"Aguilar";"5";2,29759955406189
"10";"PH175302000";"Agutaya";"1";8,06565189361572
"11";"PH063001000";"Ajuy";"3";40,4349899291992
"12";"PH045602000";"Alabat";"1";7,14959144592285
"13";"PH043401000";"Alaminos";"5";1,57306480407715
"14";"PH083702000";"Alangalang";"4";40,6986770629883
"15";"PH083703000";"Albuera";"4";32,125862121582
"16";"PH015504000";"Alcala";"5";2,32453560829163
"17";"PH175901000";"Alcantara";"4";29,9865226745605
"18";"PH042101000";"Alfonso";"5";0,947771549224854
"19";"PH025015000";"Alfonso Castaneda";"3";5,05559015274048
"20";"PH034901000";"Aliaga";"5";1,71886730194092
"21";"PH012901000";"Alilem";"1";2,66570258140564
"22";"PH063002000";"Alimodian";"3";22,9655151367188
"23";"PH041002000";"Alitagtag";"5";1,62709271907806
"24";"PH084801000";"Allen";"1";42,839527130127
"25";"PH086001000";"Almagro";"4";23,1062602996826
"26";"PH087801000";"Almeria";"3";27,3324851989746
"27";"PH072204000";"Aloguinsan";"3";20,0855827331543
"28";"PH060401000";"Altavas";"3";34,8851356506348
"29";"PH042102000";"Amadeo";"5";1,25538384914398
"30";"PH025001000";"Ambaguio";"1";5,86764097213745
"31";"PH086401000";"Anahawan";"4";13,4712133407593
"32";"PH036901000";"Anao";"5";1,27682864665985
"33";"PH015505000";"Anda";"1";5,40775156021118
"34";"PH031401000";"Angat";"5";1,0843847990036
"35";"PH035401000";"";"5";3,57392907142639
"36";"PH045801000";"Angono";"5";3,79759764671326
"37";"PH063003000";"Anilao";"3";31,0339698791504
"38";"PH060601000";"Anini-Y";"3";26,1139183044434
"39";"PH035402000";"Apalit";"5";4,3406720161438
"40";"PH035403000";"Arayat";"5";1,76831090450287
"41";"PH013302000";"Aringay";"5";1,62069058418274
"42";"PH025002000";"Aritao";"5";2,3781521320343
"43";"PH054101000";"Aroroy";"1";15,3685245513916
"44";"PH082601000";"Arteche";"3";39,2089538574219
"45";"PH015506000";"Asingan";"5";1,5899406671524
"46";"PH142711000";"Asipulo";"3";4,1007285118103
"47";"PH072206000";"Asturias";"3";29,2439556121826
"48";"PH045603000";"Atimonan";"1";3,47676825523376
"49";"PH141101000";"Atok";"5";1,08817553520203
"50";"PH051701000";"Baao";"5";6,76233959197998
"51";"PH083705000";"Babatngon";"4";26,048791885376
"52";"PH050501000";"Bacacay";"1";7,83938837051392
"53";"PH013303000";"Bacnotan";"5";1,96209919452667
"54";"PH175201000";"Baco";"1";29,6639366149902
"55";"PH035404000";"Bacolor";"5";0,894033670425415
"56";"PH042103000";"";"5";1,24652075767517
"57";"PH063004000";"Badiangan";"3";24,3038711547852
"58";"PH025003000";"Bagabag";"5";1,98873496055603
"59";"PH030802000";"Bagac";"5";1,31756639480591
"60";"PH052001000";"Bagamanoc";"1";36,344123840332
"61";"PH141102000";"";"5";9,19113731384277
"62";"PH013304000";"Bagulin";"5";1,55207145214081
"63";"PH141103000";"Bakun";"5";2,35773921012878
"64";"PH031402000";"Balagtas";"5";0,69016444683075
"65";"PH072208000";"Balamban";"3";26,7922477722168
"66";"PH082602000";"Balangiga";"4";47,6081428527832
"67";"PH082603000";"Balangkayan";"3";29,8683757781982
"68";"PH013305000";"Balaoan";"5";1,69766998291016
"69";"PH063005000";"Balasan";"4";31,2751178741455
"70";"PH051702000";"Balatan";"1";21,1653938293457
"71";"PH041003000";"Balayan";"5";1,6293922662735
"72";"PH054102000";"Baleno";"1";24,218957901001
"73";"PH037701000";"Baler";"1";4,56031274795532
"74";"PH041004000";"Balete";"5";1,15825247764587
"75";"PH060402000";"Balete";"3";35,8423385620117
"76";"PH031403000";"";"5";1,24704670906067
"77";"PH054103000";"Balud";"3";30,0662097930908
"78";"PH015507000";"Balungao";"5";1,91871738433838
"79";"PH036902000";"Bamban";"5";1,0984034538269
"80";"PH025004000";"Bambang";"5";1,81563997268677
"81";"PH063006000";"Banate";"3";39,4048271179199
"82";"PH060403000";"Banga";"3";29,648136138916
"83";"PH013306000";"Bangar";"5";2,85731267929077
"84";"PH015508000";"Bani";"5";5,27267599105835
"85";"PH175202000";"Bansud";"5";5,80196475982666
"86";"PH072209000";"Bantayan";"4";41,6612586975098
"87";"PH175902000";"Banton";"1";17,4649753570557
"88";"PH045803000";"Baras";"5";1,13945698738098
"89";"PH052002000";"Baras";"1";36,3242988586426
"90";"PH060602000";"Barbaza";"3";35,7486381530762
"91";"PH056202000";"Barcelona";"1";21,8528347015381
"92";"PH072210000";"Barili";"3";31,9113311767578
"93";"PH063007000";"Barotac Nuevo";"3";29,1676120758057
"94";"PH063008000";"Barotac Viejo";"3";28,4820327758789
"95";"PH083706000";"Barugo";"5";27,5206279754639
"96";"PH086002000";"Basey";"3";46,0277824401855
"97";"PH168501000";"Basilisa";"3";28,2014007568359
"98";"PH015509000";"Basista";"5";1,89331030845642
"99";"PH051601000";"Basud";"5";7,76984262466431
"100";"PH063009000";"Batad";"3";29,7912178039551
"101";"PH060404000";"Batan";"3";40,9483108520508
"102";"PH041005000";"";"5";1,31584525108337
"103";"PH051703000";"Bato";"1";22,1312370300293
"104";"PH052003000";"Bato";"1";37,8460121154785
"105";"PH083707000";"Bato";"3";36,3823890686035
"106";"PH054104000";"Batuan";"1";17,4342384338379
"107";"PH041006000";"Bauan";"5";1,15405404567719
"108";"PH013307000";"Bauang";"2";3,54383897781372
"109";"PH144402000";"Bauko";"5";1,22746396064758
"110";"PH015510000";"Bautista";"5";1,73462343215942
"111";"PH043402000";"Bay";"5";1,51622343063354
"112";"PH015511000";"Bayambang";"5";1,90789830684662
"113";"PH025005000";"Bayombong";"5";1,35448718070984
"114";"PH060603000";"Belison";"5";24,4195098876953
"115";"PH071248000";"Bien Unido";"3";34,8808479309082
"116";"PH087802000";"Biliran";"3";31,3835792541504
"117";"PH015512000";"Binalonan";"5";1,63350582122803
"118";"PH045804000";"Binangonan";"5";0,977192103862762
"119";"PH063010000";"Bingawan";"3";33,9681434631348
"120";"PH015513000";"Binmaley";"2";4,610267162323
"121";"PH133902000";"";"2";28,531831741333
"122";"PH084802000";"Biri";"1";59,3772392272949
"123";"PH174001000";"Boac";"5";3,84368014335632
"124";"PH084803000";"Bobon";"1";36,6772842407227
"125";"PH031404000";"Bocaue";"5";1,30805659294128
"126";"PH141104000";"Bokod";"5";0,92809247970581
"127";"PH015514000";"Bolinao";"1";5,44099569320679
"128";"PH051704000";"Bombon";"1";30,695276260376
"129";"PH034902000";"Bongabon";"5";1,89981961250305
"130";"PH175203000";"Bongabong";"1";7,6127667427063
"131";"PH086402000";"Bontoc";"3";29,9981880187988
"132";"PH072213000";"Borbon";"3";31,7170886993408
"133";"PH037101000";"Botolan";"1";4,84900999069214
"134";"PH045605000";"Buenavista";"1";26,4523181915283
"135";"PH067901000";"Buenavista";"3";55,3857612609863
"136";"PH071209000";"Buenavista";"3";42,3155746459961
"137";"PH174002000";"Buenavista";"5";5,54028034210205
"138";"PH015515000";"Bugallon";"5";4,95832538604736
"139";"PH060604000";"Bugasong";"3";29,5031814575195
"140";"PH141105000";"Buguias";"5";0,553718566894531
"141";"PH051705000";"Buhi";"3";8,90492248535156
"142";"PH051706000";"Bula";"3";16,9795093536377
"143";"PH031405000";"Bulacan";"1";1,80673336982727
"144";"PH175204000";"Bulalacao";"3";32,3638610839844
"145";"PH056203000";"Bulan";"2";20,1211738586426
"146";"PH056204000";"Bulusan";"1";21,7151031494141
"147";"PH083710000";"Burauen";"4";39,6333427429199
"148";"PH045606000";"Burdeos";"1";20,4777145385742
"149";"PH013308000";"Burgos";"5";1,9745922088623
"150";"PH015516000";"Burgos";"5";4,42535400390625
"151";"PH166704000";"Burgos";"1";19,0226516723633
"152";"PH060405000";"Buruanga";"3";28,1577701568604
"153";"PH031406000";"Bustos";"5";0,900301456451416
"154";"PH175307000";"Busuanga";"3";26,5452346801758
"155";"PH013309000";"Caba";"5";2,34865951538086
"156";"PH034903000";"";"5";1,11401176452637
"157";"PH037102000";"Cabangan";"1";4,63053178787231
"158";"PH025702000";"Cabarroguis";"5";2,62969827651978
"159";"PH063012000";"Cabatuan";"3";37,7092666625977
"160";"PH034904000";"Cabiao";"5";1,35740280151367
"161";"PH087803000";"Cabucgayan";"3";26,7781372070312
"162";"PH051707000";"Cabusao";"2";34,3321952819824
"163";"PH043404000";"";"5";3,43867635726929
"164";"PH175308000";"Cagayancillo";"3";5,30095863342285
"165";"PH168502000";"Cagdianao";"4";32,5041007995605
"166";"PH087804000";"Caibiran";"3";20,7669467926025
"167";"PH045805000";"Cainta";"5";2,72224235534668
"168";"PH175903000";"Cajidiocan";"1";22,0989246368408
"169";"PH051708000";"Calabanga";"2";30,2194023132324
"170";"PH041007000";"";"5";1,70838785171509
"171";"PH015517000";"Calasiao";"5";2,10343503952026
"172";"PH041008000";"Calatagan";"5";1,91086709499359
"173";"PH175904000";"Calatrava";"1";18,3992347717285
"174";"PH045607000";"Calauag";"1";20,2843761444092
"175";"PH043406000";"Calauan";"5";1,0843003988266
"176";"PH086003000";"";"3";31,9644641876221
"177";"PH086004000";"Calbiga";"3";29,9351425170898
"178";"PH063013000";"Calinog";"3";21,6190204620361
"179";"PH175102000";"Calintaan";"3";6,98724412918091
"180";"PH137501000";"";"5";3,67381620407104
"181";"PH083713000";"Calubian";"3";35,2588195800781
"182";"PH031407000";"Calumpit";"5";2,89572024345398
"183";"PH060605000";"Caluya";"3";25,9429206848145
"184";"PH050502000";"Camalig";"5";8,04417514801025
"185";"PH051709000";"Camaligan";"5";5,76243829727173
"186";"PH036903000";"Camiling";"5";1,69888234138489
"187";"PH082605000";"Can-Avid";"3";26,8162708282471
"188";"PH051710000";"Canaman";"5";22,5449390411377
"189";"PH035405000";"Candaba";"5";1,16193544864655
"190";"PH037103000";"Candelaria";"2";4,07824850082397
"191";"PH045608000";"Candelaria";"5";2,23074984550476
"192";"PH051602000";"Capalonga";"3";17,3381099700928
"193";"PH036904000";"Capas";"5";1,59588730335236
"194";"PH083714000";"Capoocan";"3";29,2633953094482
"195";"PH084804000";"Capul";"3";35,6097412109375
"196";"PH051711000";"Caramoan";"1";21,7374229431152
"197";"PH052004000";"Caramoran";"1";18,7681427001953
"198";"PH045806000";"Cardona";"5";1,76904094219208
"199";"PH083715000";"Carigara";"3";31,0935707092285
"200";"PH063014000";"Carles";"4";25,0460624694824
"201";"PH072215000";"Carmen";"5";36,3227005004883
"202";"PH042104000";"";"5";1,10293209552765
"203";"PH034905000";"Carranglan";"5";5,09341144561768
"204";"PH037702000";"Casiguran";"1";10,1882448196411
"205";"PH056205000";"Casiguran";"1";7,14686727523804
"206";"PH056206000";"Castilla";"1";20,9124317169189
"207";"PH037104000";"Castillejos";"5";1,40308237075806
"208";"PH054105000";"Cataingan";"3";27,5046119689941
"209";"PH045610000";"Catanauan";"3";7,2415885925293
"210";"PH084805000";"Catarman";"1";23,0758323669434
"211";"PH072216000";"Catmon";"3";20,021068572998
"212";"PH084806000";"Catubig";"3";22,2700271606445
"213";"PH043407000";"Cavinti";"5";2,15853404998779
"214";"PH042105000";"";"5";3,19930243492126
"215";"PH054106000";"Cawayan";"3";39,8908004760742
