"","Mun_Code","rain_total","rain_max6h","rain_max24h","wind_max","track_min_dist","ls_risk_pct","ss_risk_pct","blue_ss_frac","blue_ls_frac","red_ls_frac","orange_ls_frac","yellow_ss_frac","red_ss_frac","orange_ss_frac","yellow_ls_frac","slope_mean","elev_mean","ruggedness_sd","ruggedness_mean","slope_sd","poverty_pct","has_coast","coast_length","housing_units","roof_strong_wall_strong","roof_strong_wall_light","roof_strong_wall_salv","roof_light_wall_strong","roof_light_wall_light","roof_light_wall_salv","roof_salv_wall_strong","roof_salv_wall_light","roof_salv_wall_salv","vulnerable_groups","pantawid_benef","damage_perc","Mun_Code_2","Unnamed..0","Municipality","X10.Digit.Code","Correspondence.Code","Income.Class","Population.2020.Census.","region","island_groups","wind_blue_ss","wind_yellow_ss","wind_orange_ss","wind_red_ss","rain_blue_ls","rain_yellow_ls","rain_orange_ls","rain_red_ls"
"1","PH175101000",287.239285714286,19.8803571428571,11.0360182370821,51.2559064897042,1.07521135694684,2.64,6.18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,16.48,479.57,47.2,82.19,9.73,11.34,1,37836,7185,80,2,2,2,2,2,2,2,10,2.95151089248067,46.9311064718163,0.69589422407794,175101000,522,"Abra De Ilog",1705101000,175101000,"2nd",35176,"MIMAROPA Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"2","PH030801000",287.239285714286,8.21041666666667,5.88989361702128,51.2559064897042,1.07521135694684,0.78,40.87,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.5,232.23,37.28,33.53,7.5,2.09,1,6116,9256,80,2,2,2,2,2,2,2,10,0.867602808425276,8.96715643906655,NA,30801000,281,"Abucay",300801000,30801000,"3rd",42984,"Central Luzon","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"3","PH083701000",287.239285714286,1.109375,0.597872340425532,51.2559064897042,1.07521135694684,0.06,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.73,182.19,36.8,43.56,7.71,6.09,1,38796,13294,80,2,2,2,2,2,2,2,10,3.33887294153195,25.9891680457349,NA,83701000,949,"Abuyog",803701000,83701000,"1st*",61216,"Eastern Visayas","Visayas",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"4","PH045601000",287.239285714286,17.6454545454545,8.76241134751773,51.2559064897042,1.07521135694684,3.53,2.77,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.23,38.78,13.06,17.71,2.82,4.77,1,10378,3156,80,2,2,2,2,2,2,2,10,1.9531553964672,18.8212927756654,NA,45601000,464,"Agdangan",405601000,45601000,"5th",12764,"CALABARZON","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"5","PH025701000",287.239285714286,25.4033333333333,16.723125,51.2559064897042,1.07521135694684,0.34,0.07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.75,335.6,34.98,43.73,7.67,4.82,0,0,6540,80,2,2,2,2,2,2,2,10,1.20200093568935,19.9847094801223,NA,25701000,275,"Aglipay",205701000,25701000,"3rd",30714,"Cagayan Valley","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"6","PH015501000",287.239285714286,11.1236111111111,6.48402777777778,51.2559064897042,1.07521135694684,1.52,1.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.58,60.23,16.51,24.32,3.73,7.87,1,36607,6593,80,2,2,2,2,2,2,2,10,2.13175531156424,32.185651448506,NA,15501000,148,"Agno",105501000,15501000,"3rd",29947,"Ilocos Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"7","PH041001000",287.239285714286,13.5625,6.83723404255319,51.2559064897042,1.07521135694684,0.44,0.02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.87,123.65,18.01,31.63,3.8,3.96,1,13209,7806,80,2,2,2,2,2,2,2,10,0.522872382353714,18.7419933384576,NA,41001000,396,"Agoncillo",401001000,41001000,"4th",39101,"CALABARZON","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"8","PH013301000",287.239285714286,10.1541666666667,6.74270833333333,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.93,51.48,28.4,25.64,5.98,3.96,1,10118,13404,80,2,2,2,2,2,2,2,10,1.07234817559505,18.1662190390928,NA,13301000,129,"Agoo",103301000,13301000,"1st",66028,"Ilocos Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"9","PH015502000",287.239285714286,10.145,8.0675,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.77,208.29,33.22,42.57,7.38,6.43,0,0,8591,80,2,2,2,2,2,2,2,10,1.58936883486482,29.6123850541264,NA,15502000,149,"Aguilar",105502000,15502000,"3rd",45100,"Ilocos Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"10","PH175302000",287.239285714286,6.49270833333333,2.75338541666667,51.2559064897042,1.07521135694684,5.52,0.36,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.83,56.21,36.95,47.61,7.6,9.38,1,311,3044,80,2,2,2,2,2,2,2,10,1.38700677560781,35.0525624178712,NA,175302000,548,"Agutaya",1705302000,175302000,"5th",12867,"MIMAROPA Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
