"","X","Mun_Code","rain_total","wind_max","track_min_dist","blue_ss_frac","blue_ls_frac","red_ls_frac","orange_ls_frac","yellow_ss_frac","red_ss_frac","orange_ss_frac","yellow_ls_frac","roof_strong_wall_strong","roof_strong_wall_light","roof_strong_wall_salv","roof_light_wall_strong","roof_light_wall_light","roof_light_wall_salv","roof_salv_wall_strong","roof_salv_wall_light","roof_salv_wall_salv","Municipality","region","island_groups","wind_blue_ss","wind_yellow_ss","wind_orange_ss","wind_red_ss","rain_blue_ls","rain_yellow_ls","rain_orange_ls","rain_red_ls","Cluster","adj_cf_preds","unadj_cf_preds","ass_cf_preds"
"1",1,"PH175101000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,46.1099512874043,8.21155184411969,0.0974251913709116,2.5330549756437,41.892832289492,1.00208768267223,0,0.0278357689631176,0.0835073068893528,"Abra De Ilog","MIMAROPA Region","Luzon",0,0,0,0,0,0,0,0,2,7.10231876373291,8.48573017120361,29.7655296325684
"2",2,"PH030801000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,89.8012100259291,7.43301642178047,0.118841832324978,0.248487467588591,2.18236819360415,0,0,0.0108038029386343,0.0108038029386343,"Abucay","Central Luzon","Luzon",0,0,0,0,0,0,0,0,4,1.20072734355927,0.880350947380066,2.6069757938385
"3",3,"PH083701000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,49.4433579058222,33.6392357454491,0.850007522190462,1.21859485482172,13.6452534978186,0.549119903715962,0.0300887618474499,0.0902662855423499,0.112832856927937,"Abuyog","Eastern Visayas","Visayas",0,0,0,0,0,0,0,0,1,30.1799182891846,31.5720081329346,38.4235229492188
"4",4,"PH045601000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,68.5678073510773,12.3574144486692,0.697084917617237,1.7743979721166,15.0823827629911,0.443599493029151,0,0,0.0950570342205323,"Agdangan","CALABARZON","Luzon",0,0,0,0,0,0,0,0,4,7.39184427261353,7.525963306427,11.1958198547363
"5",5,"PH025701000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,64.1743119266055,29.388379204893,0.0305810397553516,0.122324159021407,6.08562691131498,0,0,0.0458715596330275,0.0305810397553516,"Aglipay","Cagayan Valley","Luzon",0,0,0,0,0,0,0,0,4,3.27532267570496,4.12000942230225,10.4953470230103
"6",6,"PH015501000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,59.5631730623388,22.9637494312149,0.197178826027605,0.667374488093432,15.5922948581829,0.0758380100106173,0,0.0151676020021234,0.0758380100106173,"Agno","Ilocos Region","Luzon",0,0,0,0,0,0,0,0,4,4.53429937362671,4.31396913528442,5.75704336166382
"7",7,"PH041001000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,88.3423007942608,7.5582884960287,0.0256213169356904,0.281834486292595,3.26671790930054,0.0384319754035357,0.0128106584678452,0.0384319754035357,0.0256213169356904,"Agoncillo","CALABARZON","Luzon",0,0,0,0,0,0,0,0,4,1.34557998180389,1.58232855796814,4.63268661499023
"8",8,"PH013301000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,84.5195464040585,13.4139062966279,0.223813786929275,0.164130110414801,1.14891077290361,0.0074604595643091,0,0.0149209191286183,0.0447627573858549,"Agoo","Ilocos Region","Luzon",0,0,0,0,0,0,0,0,4,1.16195929050446,0.836101293563843,4.50515079498291
"9",9,"PH015502000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,75.1833313933186,16.1797229658945,0.279362123152136,0.675125130950995,7.10045396345012,0.0232801769293446,0.0116400884646723,0,0.128040973111396,"Aguilar","Ilocos Region","Luzon",0,0,0,0,0,0,0,0,4,2.29759955406189,2.42421913146973,3.75040817260742
"10",10,"PH175302000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,36.0381077529566,32.5229960578187,0.0657030223390276,0.821287779237845,30.3547963206308,0,0,0.0328515111695138,0,"Agutaya","MIMAROPA Region","Luzon",0,0,0,0,0,0,0,0,2,6.98061466217041,41.8180618286133,34.7660255432129
